# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 25K of event 'cycles:u'
# Event count (approx.): 2288360700315
#
# Overhead  Command  Shared Object                                       Symbol                                                                                                                                                                                             IPC   [IPC Coverage]
# ........  .......  ..................................................  .................................................................................................................................................................................................  ....................
#
     0.00%  ABE      libpmix.so.2.13.7                                   [.] 0x0000000000121918                                                                                                                                                                             -      -            
     0.00%  ABE      libpmix.so.2.13.7                                   [.] 0x0000000000186c9c                                                                                                                                                                             -      -            
     0.00%  ABE      libpmix.so.2.13.7                                   [.] pmix_bfrops_base_unpack_byte                                                                                                                                                                   -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] _dl_name_match_p                                                                                                                                                                               -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] _dl_check_map_versions                                                                                                                                                                         -      -            
     0.00%  prterun  libpmix.so.2.13.7                                   [.] pmix_hash_lookup_key                                                                                                                                                                           -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] strcmp                                                                                                                                                                                         -      -            
     0.00%  bash     bash                                                [.] hash_search                                                                                                                                                                                    -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] _dl_map_object_from_fd                                                                                                                                                                         -      -            
     0.00%  prterun  libc.so.6                                           [.] _int_free_create_chunk                                                                                                                                                                         -      -            
     0.00%  prterun  libc.so.6                                           [.] _int_malloc                                                                                                                                                                                    -      -            
     0.00%  prterun  libc.so.6                                           [.] pthread_mutex_lock@@GLIBC_2.17                                                                                                                                                                 -      -            
     0.00%  ABE      ld-linux-aarch64.so.1                               [.] _dl_notify_new_object                                                                                                                                                                          -      -            
     0.00%  env      libc.so.6                                           [.] pthread_rwlock_unlock@@GLIBC_2.34                                                                                                                                                              -      -            
     0.00%  env      libc.so.6                                           [.] malloc                                                                                                                                                                                         -      -            
     0.00%  python3  libopenblasp-r0.3.29.so                             [.] 0x0000000000753ffc                                                                                                                                                                             -      -            
     0.00%  prterun  ld-linux-aarch64.so.1                               [.] do_lookup_x                                                                                                                                                                                    -      -            
     0.00%  env      libc.so.6                                           [.] pthread_rwlock_wrlock@@GLIBC_2.34                                                                                                                                                              -      -            
     0.00%  python3  ld-linux-aarch64.so.1                               [.] do_lookup_x                                                                                                                                                                                    -      -            
     0.00%  env      ld-linux-aarch64.so.1                               [.] strcmp                                                                                                                                                                                         -      -            
     0.00%  bash     bash                                                [.] 0x0000000000046688                                                                                                                                                                             -      -            
